c17f992398db67ef6b2990fe9d93075df5573faf
Episode 99	Average Score: 17.02	Best Score: 17.02
Episode 199	Average Score: 21.00	Best Score: 21.00
Episode 299	Average Score: 20.57	Best Score: 21.00
Episode 399	Average Score: 19.08	Best Score: 21.00
Episode 499	Average Score: 20.68	Best Score: 21.00
Episode 599	Average Score: 17.35	Best Score: 21.00
Episode 699	Average Score: 4.99	Best Score: 21.00
Episode 799	Average Score: 5.34	Best Score: 21.00
Episode 899	Average Score: 4.80	Best Score: 21.00
Episode 999	Average Score: 3.56	Best Score: 21.00
Episode 1099	Average Score: 5.33	Best Score: 21.00
Episode 1199	Average Score: 4.49	Best Score: 21.00
Episode 1299	Average Score: 3.99	Best Score: 21.00
Episode 1399	Average Score: 3.96	Best Score: 21.00
Episode 1499	Average Score: 3.60	Best Score: 21.00
Episode 1599	Average Score: 5.36	Best Score: 21.00
Episode 1699	Average Score: 3.09	Best Score: 21.00
Episode 1799	Average Score: 5.37	Best Score: 21.00
Episode 1899	Average Score: 3.96	Best Score: 21.00
Episode 1999	Average Score: 3.47	Best Score: 21.00
Episode 2099	Average Score: 4.06	Best Score: 21.00
Episode 2199	Average Score: 4.56	Best Score: 21.00
Episode 2299	Average Score: 3.06	Best Score: 21.00
Episode 2399	Average Score: 4.01	Best Score: 21.00
Episode 2499	Average Score: 4.52	Best Score: 21.00
Episode 2599	Average Score: 5.35	Best Score: 21.00
Episode 2699	Average Score: 2.64	Best Score: 21.00
Episode 2799	Average Score: 0.92	Best Score: 21.00
Episode 2899	Average Score: 2.24	Best Score: 21.00
Episode 2999	Average Score: 3.92	Best Score: 21.00
Episode 3099	Average Score: 3.56	Best Score: 21.00
Episode 3199	Average Score: 3.17	Best Score: 21.00
Episode 3299	Average Score: 5.36	Best Score: 21.00
Episode 3399	Average Score: 3.50	Best Score: 21.00
Episode 3499	Average Score: 4.96	Best Score: 21.00
Episode 3599	Average Score: 5.25	Best Score: 21.00
Episode 3699	Average Score: 5.83	Best Score: 21.00
Episode 3799	Average Score: 2.69	Best Score: 21.00
Episode 3899	Average Score: 3.13	Best Score: 21.00
Episode 3999	Average Score: 8.15	Best Score: 21.00
Episode 4099	Average Score: 4.43	Best Score: 21.00
Episode 4199	Average Score: 3.61	Best Score: 21.00
Episode 4299	Average Score: 3.54	Best Score: 21.00
Episode 4399	Average Score: 1.36	Best Score: 21.00
Episode 4499	Average Score: 4.93	Best Score: 21.00
Episode 4599	Average Score: 3.46	Best Score: 21.00
Episode 4699	Average Score: 5.32	Best Score: 21.00
Episode 4799	Average Score: 5.38	Best Score: 21.00
Episode 4899	Average Score: 5.31	Best Score: 21.00
Episode 4999	Average Score: 2.20	Best Score: 21.00
Episode 5099	Average Score: 5.30	Best Score: 21.00
Episode 5199	Average Score: 4.40	Best Score: 21.00
Episode 5299	Average Score: 4.04	Best Score: 21.00
Episode 5399	Average Score: 4.46	Best Score: 21.00
Episode 5499	Average Score: 4.95	Best Score: 21.00
Episode 5599	Average Score: 6.15	Best Score: 21.00
Episode 5699	Average Score: 5.81	Best Score: 21.00
Episode 5799	Average Score: 4.42	Best Score: 21.00
Episode 5899	Average Score: 3.87	Best Score: 21.00
Episode 5999	Average Score: 6.32	Best Score: 21.00
Episode 6099	Average Score: 4.97	Best Score: 21.00
Episode 6199	Average Score: 3.15	Best Score: 21.00
Episode 6299	Average Score: 6.20	Best Score: 21.00
Episode 6399	Average Score: 3.65	Best Score: 21.00
Episode 6499	Average Score: 7.99	Best Score: 21.00
Episode 6599	Average Score: 3.10	Best Score: 21.00
Episode 6699	Average Score: 3.54	Best Score: 21.00
Episode 6799	Average Score: 2.23	Best Score: 21.00
Episode 6899	Average Score: 1.80	Best Score: 21.00
Episode 6999	Average Score: 2.69	Best Score: 21.00
Episode 7099	Average Score: 7.64	Best Score: 21.00
Episode 7199	Average Score: 3.54	Best Score: 21.00
Episode 7299	Average Score: 4.52	Best Score: 21.00
Episode 7399	Average Score: 5.30	Best Score: 21.00
Episode 7499	Average Score: 3.11	Best Score: 21.00
Episode 7599	Average Score: 3.43	Best Score: 21.00
Episode 7699	Average Score: 4.52	Best Score: 21.00
Episode 7799	Average Score: 2.77	Best Score: 21.00
Episode 7899	Average Score: 6.67	Best Score: 21.00
Episode 7999	Average Score: 4.91	Best Score: 21.00
